widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3
1,Mr.,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,2,0.003584229390681,0.0238095238095238,0.0,5.01808680627674,0.0,26,0.000658511258009776,0.00244897959183673,0.0,7.24789232489679,0.912953506839346
2,Chief,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,1,0.0017921146953405,0.5,1.0,1.0,0.0,12,0.000303928272927589,0.384615384615385,0.333333333333333,3.01548244364415,1.14544581337843
3,Justice,6.0,2.0,1.0,NNP,root,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,1,0.0017921146953405,1.0,1.0,0.0,0.0,40,0.00101309424309196,1.0,1.0,4.67659731134747,0.883502922381757
4,",",,,,",",,,,,,,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0
5,Mr.,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,2,0.003584229390681,0.04,1.0,5.01808680627674,0.0,26,0.000658511258009776,0.00884955752212389,0.3125,7.24789232489679,0.912953506839346
6,Vice,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,1,0.0017921146953405,0.5,1.0,1.0,0.0,15,0.000379910341159486,0.192307692307692,0.15,6.44771117826004,1.59406561581121
7,President,9.0,3.0,2.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,1,0.0017921146953405,1.0,1.0,0.0,0.0,47,0.00119038573563306,1.0,1.0,4.29171711095481,0.949553055315634
8,",",,,,",",,,,,,,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0
9,my,2.0,1.0,1.0,PRP$,nmod:poss,3.0,3.0,3.0,3.0,-2.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,4,0.00716845878136201,0.04,1.0,3.93415333267364,0.25,93,0.00235544411518882,0.00530973451327434,0.0769230769230769,6.39281972058669,1.63252477740595
10,friends,6.0,1.0,1.0,NNS,appos,1.0,1.0,1.0,1.0,0.0,1,"Mr. Chief Justice , Mr. Vice President , my friends :",0,0,1,0.0017921146953405,0.25,1.0,2.0,0.0,25,0.000633183901932477,0.0860215053763441,0.166666666666667,6.01583287202294,2.01378156197056
