widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3
1,My,2.0,1.0,1.0,PRP$,nmod:poss,4.0,4.0,4.0,4.0,-3.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2,7,0.00434512725015518,0.0181818181818182,0.0,4.63916149056303,0.226423214388737,93,0.00235544411518882,0.00775510204081633,0.0,6.39281972058669,1.63252477740595
2,fellow,4.0,2.0,1.0,JJ,amod,3.0,3.0,3.0,3.0,-2.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2,5,0.00310366232153942,0.714285714285714,1.0,0.485426827170242,0.0,46,0.00116505837955576,0.290322580645161,0.578947368421053,4.15719332280918,1.54890416283712
3,citizens,8.0,3.0,1.0,NNS,nsubj,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2,2,0.00124146492861577,0.2,0.2,1.16096404744368,1.16096404744368,58,0.00146898665248335,0.521739130434783,0.518518518518518,4.28908505169992,1.69844979736908
4,",",,,,",",,,,,,,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
5,today,4.0,2.0,1.0,NN,advmod,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2,10,0.00620732464307883,0.00952380952380952,1.0,3.37801833600161,0.490689059560852,83,0.00210217055441582,0.00176991150442478,0.0714285714285714,5.54192701933907,1.38317658918645
6,we,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2,52,0.0322780881440099,0.3,1.0,2.43433857320924,0.565887661687161,1021,0.0258592305549224,0.108433734939759,0.25,3.31849557808692,1.00709304700192
7,celebrate,8.0,3.0,2.0,VBP,root,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2,3,0.00186219739292365,0.0384615384615385,0.333333333333333,3.13362647876073,0.528320833573719,11,0.00027860091685029,0.00587659157688541,0.111111111111111,7.28053046096383,3.33412590666939
8,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2,89,0.0552451893234016,0.333333333333333,0.5,2.00753303456986,0.324382162428222,2261,0.0572651520907732,0.454545454545455,0.5,2.74917326769894,0.87789225295395
9,mystery,6.0,3.0,1.0,NN,dobj,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2,1,0.000620732464307883,0.0112359550561798,1.0,6.4757334309664,0.0,1,2.53273560772991e-05,0.000442282176028306,0.2,11.1427452767515,2.32192809488736
10,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2,46,0.0285536933581626,1.0,1.0,0.397808869964941,0.0652173913043478,1691,0.0428285591267128,1.0,1.0,1.70240777240252,0.42749345896955
11,American,8.0,4.0,1.0,JJ,amod,2.0,2.0,2.0,2.0,-1.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2,4,0.00248292985723153,0.0434782608695652,1.0,4.67319558613068,0.830482023721841,62,0.00157029607679254,0.00295683027794205,1.0,5.6497390074533,2.89589586886019
12,renewal,6.0,3.0,1.0,NN,nmod:of,1.0,1.0,1.0,1.0,0.0,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2,4,0.00248292985723153,0.5,1.0,2.60446312872147,0.97672264890213,7,0.000177291492541094,0.032258064516129,0.4,4.45084063247484,2.44961561182688
13,.,,,,.,,,,,,,1,"My fellow citizens , today we celebrate the mystery of American renewal .",2,2
1,This,3.0,1.0,1.0,DT,det,6.0,6.0,5.0,6.0,-4.75,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,10,0.00620732464307883,0.0272727272727273,0.0,4.06266854734649,0.4,323,0.00818073601296761,0.0212244897959184,0.0,4.74961945634651,1.34904796006705
2,ceremony,8.0,4.0,2.0,NN,nsubjpass,4.0,4.0,4.0,4.0,-3.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,2,0.00124146492861577,0.2,0.333333333333333,2.32192809488736,1.29248125036058,8,0.000202618848618393,0.00928792569659443,0.0192307692307692,4.35581763042092,2.07211958308826
3,is,2.0,1.0,1.0,VBZ,auxpass,5.0,5.0,4.0,5.0,-3.75,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,28,0.0173805090006207,0.5,0.5,1.65571641445201,0.205531696505838,500,0.0126636780386495,0.125,0.333333333333333,3.30456875255596,1.21984204040818
4,held,4.0,1.0,1.0,VBN,ccomp,4.0,4.0,4.0,4.0,-3.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,1,0.000620732464307883,0.0357142857142857,1.0,4.8073549220576,0.0,5,0.000126636780386495,0.002,1.0,6.88147306388696,3.08858869916975
