widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,corpus-freq
1,Thank,4.0,1.0,1.0,VB,root,1.0,1.0,2.0,1.0,-0.25,1,Thank you .,1,1,3,22
2,you,2.0,1.0,1.0,PRP,dobj,4.0,4.0,1.0,4.0,-2.25,1,Thank you .,1,1,7,115
3,.,,,,.,,,,,,,1,Thank you .,1,1,,
1,Thank,4.0,1.0,1.0,VB,root,2.0,2.0,2.0,2.0,-1.0,2,Thank you so much .,1,1,3,22
2,you,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,2,Thank you so much .,1,1,7,115
3,so,2.0,1.0,1.0,RB,advmod,2.0,2.0,2.0,2.0,-1.0,2,Thank you so much .,1,1,7,120
4,much,3.0,1.0,1.0,JJ,xcomp,1.0,1.0,1.0,1.0,0.0,2,Thank you so much .,1,1,1,27
5,.,,,,.,,,,,,,2,Thank you so much .,1,1,,
1,Vice,3.0,1.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,1,15
2,President,9.0,3.0,2.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,2,47
3,Biden,5.0,2.0,1.0,NNP,root,3.0,3.0,3.0,3.0,-2.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,1,1
4,",",,,,",",,,,,,,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,,
5,Mr.,5.0,2.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,1,26
6,Chief,3.0,1.0,1.0,NNP,compound,2.0,2.0,2.0,2.0,-1.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,1,12
7,Justice,6.0,2.0,1.0,NNP,appos,3.0,3.0,3.0,3.0,-2.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,2,40
8,",",,,,",",,,,,,,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,,
9,Members,6.0,2.0,1.0,NNS,appos,2.0,2.0,2.0,2.0,-1.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,1,9
10,of,2.0,1.0,1.0,IN,case,3.0,3.0,2.0,3.0,-1.75,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,69,1691
11,the,2.0,1.0,0.0,DT,det,4.0,4.0,4.0,4.0,-3.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,104,2261
12,United,7.0,3.0,1.0,NNP,compound,3.0,3.0,3.0,3.0,-2.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,2,49
13,States,5.0,1.0,1.0,NNPS,compound,2.0,2.0,2.0,2.0,-1.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,2,39
14,Congress,7.0,2.0,1.0,NNP,nmod:of,3.0,3.0,3.0,3.0,-2.0,3,"Vice President Biden , Mr. Chief Justice , Members of the United States Congress , distinguished guests , and fellow citizens :",1,1,1,16
